epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6905,1.97053,2.07511,1.70497,0.65482,0.44725,0.46269,0.20237,1.85105,1.59117,1.69783,0.000367725,0.000367725,0.000367725
2,94.1053,1.82315,1.58521,1.5923,0.44364,0.42786,0.42905,0.1887,1.92012,1.6288,1.7287,0.000723445,0.000723445,0.000723445
3,139.3,1.83845,1.5703,1.59562,0.46705,0.44084,0.42572,0.16871,2.06476,1.647,1.84113,0.0010645,0.0010645,0.0010645
4,184.873,1.80903,1.53081,1.58327,0.50422,0.53755,0.49841,0.20913,1.92066,1.50872,1.7291,0.00104501,0.00104501,0.00104501
5,230.218,1.76818,1.45315,1.55704,0.57193,0.50928,0.53759,0.24582,1.81719,1.39197,1.66954,0.00102301,0.00102301,0.00102301
6,275.568,1.7606,1.40158,1.54803,0.59766,0.58579,0.59154,0.26322,1.80883,1.29774,1.63344,0.00100101,0.00100101,0.00100101
7,320.245,1.74914,1.37209,1.53818,0.5402,0.59792,0.57449,0.24371,1.79861,1.31789,1.62481,0.000979013,0.000979013,0.000979013
8,365.528,1.72904,1.34093,1.52282,0.62135,0.60527,0.60823,0.28601,1.76916,1.24368,1.59783,0.000957015,0.000957015,0.000957015
9,410.248,1.68887,1.27709,1.49824,0.64345,0.6314,0.66295,0.31345,1.77539,1.16358,1.59998,0.000935018,0.000935018,0.000935018
10,455.762,1.67006,1.25968,1.4968,0.63185,0.60138,0.64772,0.30226,1.77164,1.15578,1.60088,0.00091302,0.00091302,0.00091302
11,500.368,1.66569,1.22519,1.48099,0.67777,0.62541,0.66542,0.32226,1.71633,1.12559,1.56453,0.000891022,0.000891022,0.000891022
12,545.837,1.64447,1.18189,1.46448,0.6738,0.63917,0.6601,0.31735,1.70571,1.12911,1.55749,0.000869024,0.000869024,0.000869024
13,590.543,1.63812,1.17582,1.46556,0.68204,0.62297,0.67268,0.32234,1.7239,1.08853,1.57113,0.000847026,0.000847026,0.000847026
14,635.96,1.613,1.1351,1.45592,0.71064,0.62928,0.68538,0.33573,1.7024,1.07053,1.5518,0.000825029,0.000825029,0.000825029
15,680.688,1.5956,1.10213,1.44285,0.66727,0.7017,0.70072,0.35383,1.64417,1.03103,1.51013,0.000803031,0.000803031,0.000803031
16,726.13,1.56712,1.08661,1.41788,0.73906,0.69007,0.72848,0.36586,1.65965,1.00258,1.52003,0.000781033,0.000781033,0.000781033
17,770.796,1.55217,1.05372,1.41124,0.72703,0.702,0.7433,0.37398,1.66016,0.97158,1.52712,0.000759035,0.000759035,0.000759035
18,816.193,1.5327,1.03116,1.41014,0.71962,0.72435,0.73608,0.37502,1.64587,0.96464,1.52061,0.000737037,0.000737037,0.000737037
19,861.267,1.52243,1.02754,1.40965,0.79458,0.69364,0.75795,0.39824,1.59328,0.93196,1.48643,0.00071504,0.00071504,0.00071504
20,906.841,1.49947,0.98388,1.38551,0.75011,0.7191,0.74855,0.39151,1.63684,0.92363,1.5209,0.000693042,0.000693042,0.000693042
21,951.728,1.48388,0.95833,1.36783,0.71584,0.73487,0.75916,0.40358,1.56592,0.90933,1.46257,0.000671044,0.000671044,0.000671044
22,997.186,1.46869,0.96727,1.3624,0.74422,0.76264,0.78686,0.42355,1.56074,0.8689,1.45474,0.000649046,0.000649046,0.000649046
23,1042,1.45322,0.93685,1.35585,0.80589,0.75187,0.80132,0.43386,1.54849,0.85816,1.44546,0.000627048,0.000627048,0.000627048
24,1087.42,1.42667,0.90973,1.34401,0.77638,0.76839,0.8065,0.43859,1.52764,0.83595,1.4358,0.000605051,0.000605051,0.000605051
25,1132.05,1.40747,0.88575,1.32953,0.81605,0.75807,0.81784,0.4551,1.50789,0.82027,1.42115,0.000583053,0.000583053,0.000583053
26,1177.07,1.40791,0.88596,1.33242,0.84118,0.77022,0.83291,0.45537,1.53798,0.81431,1.43915,0.000561055,0.000561055,0.000561055
27,1222.06,1.39219,0.86394,1.32011,0.82449,0.78813,0.83703,0.46778,1.47624,0.79144,1.40393,0.000539057,0.000539057,0.000539057
28,1267.37,1.37325,0.85693,1.30737,0.83496,0.78328,0.84331,0.47852,1.44168,0.78068,1.37851,0.000517059,0.000517059,0.000517059
29,1312.28,1.34519,0.83625,1.29568,0.84241,0.77388,0.8449,0.48091,1.44739,0.76162,1.38721,0.000495062,0.000495062,0.000495062
30,1357.38,1.33918,0.81493,1.28909,0.80813,0.79085,0.83881,0.47311,1.45927,0.75078,1.38179,0.000473064,0.000473064,0.000473064
31,1403.01,1.31329,0.80177,1.27308,0.8252,0.80547,0.84988,0.48621,1.44709,0.75537,1.38951,0.000451066,0.000451066,0.000451066
32,1447.56,1.30233,0.79198,1.27079,0.83642,0.79666,0.85432,0.50687,1.4029,0.73063,1.35384,0.000429068,0.000429068,0.000429068
